data,flowmember,label,classes
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',1,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',2,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',2,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',2,,
b'her / IP / UDP 192.168.192.1:netbios_ns > 192.168.192.2:netbios_ns / NBNSHeader / Ra',2,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http ',3,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http A / Ra',3,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http A / Ra',3,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http PA / Ra',3,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http ',4,,
b'her / IP / TCP 192.168.0.106:12193 > 116.132.235.228:http F',4,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 S',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 ',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 PA / Ra',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 F',5,,
b'her / IP / TCP 116.132.235.228:http > 192.168.0.106:12193 ',6,,
"b'her / IP / UDP / DNS Ans ""[b\'rpBA=42:6D:46:5B:45:2F\', b\'rpVr=440.9\', b\'rpAD=44d607ff18e6\']""'",6,,
"b'her / IP / UDP / DNS Qry ""b\'_raop._tcp.local.\'""'",6,,
"b'her / IPv6 / UDP / DNS Ans ""[b\'rpBA=42:6D:46:5B:45:2F\', b\'rpVr=440.9\', b\'rpAD=44d607ff18e6\']""'",7,,
"b'her / IPv6 / UDP / DNS Qry ""b\'_raop._tcp.local.\'""'",7,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',8,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',8,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',8,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',8,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',8,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',8,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',9,,
b'her / IP / TCP 157.255.209.167:http > 192.168.0.106:11726 PA / Ra',9,,
