srcip,dstip,sport,dport,proto,data
192.168.0.106,110.242.68.4,14265,80,6,"Ether / IP / TCP 192.168.0.106:14265 > 110.242.68.4:http S"
110.242.68.4,192.168.0.106,80,14265,6,"Ether / IP / TCP 110.242.68.4:http > 192.168.0.106:14265 SA"
192.168.0.106,110.242.68.4,14265,80,6,"Ether / IP / TCP 192.168.0.106:14265 > 110.242.68.4:http A"
192.168.0.106,110.242.68.4,14265,80,6,"Ether / IP / TCP 192.168.0.106:14265 > 110.242.68.4:http FA"
110.242.68.4,192.168.0.106,80,14265,6,"Ether / IP / TCP 110.242.68.4:http > 192.168.0.106:14265 A"
110.242.68.4,192.168.0.106,80,14265,6,"Ether / IP / TCP 110.242.68.4:http > 192.168.0.106:14265 FA"
192.168.0.106,110.242.68.4,14265,80,6,"Ether / IP / TCP 192.168.0.106:14265 > 110.242.68.4:http A"
192.168.0.106,192.168.0.1,51089,53,17,"Ether / IP / UDP / DNS Qry ""b'static-pcs-sdk-server.alibaba.com.'"" "
192.168.0.1,192.168.0.106,53,51089,17,"Ether / IP / UDP / DNS Ans ""b'static-pcs-sdk-server.alibaba.com.gds.alibabadns.com.'"" "
192.168.0.106,116.132.235.228,14266,80,6,"Ether / IP / TCP 192.168.0.106:14266 > 116.132.235.228:http S"
116.132.235.228,192.168.0.106,80,14266,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14266 SA"
192.168.0.106,116.132.235.228,14266,80,6,"Ether / IP / TCP 192.168.0.106:14266 > 116.132.235.228:http A"
192.168.0.106,116.132.235.228,14266,80,6,"Ether / IP / TCP 192.168.0.106:14266 > 116.132.235.228:http PA / Raw"
192.168.0.106,116.132.235.228,14266,80,6,"Ether / IP / TCP 192.168.0.106:14266 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14266,80,6,"Ether / IP / TCP 192.168.0.106:14266 > 116.132.235.228:http A / Raw"
192.168.0.106,116.132.235.228,14266,80,6,"Ether / IP / TCP 192.168.0.106:14266 > 116.132.235.228:http PA / Raw"
116.132.235.228,192.168.0.106,80,14266,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14266 A"
116.132.235.228,192.168.0.106,80,14266,6,"Ether / IP / TCP 116.132.235.228:http > 192.168.0.106:14266 A"
